다이나믹 프로그래밍,1003,1006,1010,1014,1020,1023,1028,1029,1038,1040,1042,1043,1048,1053,1054,1066,1081,1082,1086,1098,1099,1102,1103,1121,1123,1126,1128,1129,1131,1136,1137,1144,1146,1149,1163,1175,1203,1204,1219,1230,1234,1243,1249,1254,1256,1265,1279,1282,1301,1309,1315,1328,1332,1344,1346,1351,1354,1372,1378,1390,1398,1399,1410,1413,1415,1416,1423,1424,1442,1447,1460,1462,1463,1464,1470,1479,1480,1495,1499,1509,1513,1514,1519,1520,1521,1528,1530,1534,1538,1542,1554,1555,1562,1563,1577,1582,1594,1603,1610,1623,1624,1633,1634,1638,1641,1648,1657,1659,1660,1663,1664,1669,1670,1672,1677,1691,1692,1693,1695,1699,1720,1727,1742,1750,1754,1757,1767,1772,1776,1784,1785,1793,1796,1801,1804,1808,1814,1819,1832,1852,1857,1866,1884,1890,1904,1912,1915,1928,1932,1937,1947,1949,1955,1958,1965,1970,1982,1983,1988,1994,1995,2000,2001,2008,2011,2020,2027,2035,2040,2043,2046,2060,2062,2066,2092,2096,2098,2133,2135,2144,2156,2157,2159,2163,2167,2169,2172,2176,2184,2192,2193,2195,2197,2201,2208,2213,2216,2218,2225,2228,2229,2237,2240,2242,2248,2253,2256,2259,2262,2281,2287,2291,2293,2294,2300,2302,2305,2306,2315,2318,2341,2342,2352,2354,2366,2373,2392,2394,2395,2401,2410,2411,2419,2449,2451,2474,2482,2494,2499,2515,2518,2533,2537,2539,2552,2579,2584,2600,2602,2616,2618,2624,2625,2629,2631,2642,2647,2655,2662,2666,2688,2698,2718,2724,2758,2794,2806,2808,2826,2837,2838,2850,2854,2862,2874,2876,2879,2888,2899,2906,2911,2916,2922,2926,2937,2939,2945,2952,2958,2963,2969,2970,2976,2978,2984,2989,2994,2995,3001,3012,3026,3032,3033,3037,3056,3066,3067,3083,3084,3086,3099,3102,3104,3105,3112,3114,3118,3120,3127,3133,3138,3146,3169,3174,3188,3191,3193,3198,3200,3210,3233,3438,3452,3471,3477,3483,3565,3641,3644,3662,3667,3675,3685,3687,3694,3698,3707,3729,3793,3808,3812,3839,3846,3850,3852,3857,3858,3861,3865,3882,3886,3891,3895,3897,3908,3911,3919,3933,3938,3943,3946,3965,3966,3971,3975,3976,4074,4080,4112,4190,4198,4205,4206,4234,4237,4243,4276,4334,4348,4352,4377,4448,4457,4489,4496,4570,4576,4596,4620,4638,4698,4781,4800,4883,4886,4931,4935,4943,4951,4957,4989,4991,5004,5008,5015,5018,5034,5042,5047,5055,5056,5060,5067,5068,5069,5216,5374,5375,5388,5391,5392,5428,5435,5441,5442,5444,5451,5475,5502,5550,5557,5580,5582,5626,5721,5722,5731,5734,5736,5881,6000,6104,6120,6155,6171,6196,6200,6205,6309,6317,6328,6340,6359,6374,6434,6444,6509,6537,6540,6569,6592,6599,6602,6605,6617,6621,6636,6988,6989,7054,7055,7056,7346,7382,7418,7476,7545,7579,7613,7618,7902,7903,7998,8056,8063,8077,8913,8984,9023,9084,9095,9096,9177,9183,9184,9210,9251,9252,9269,9327,9368,9457,9461,9465,9507,9520,9545,9566,9589,9596,9599,9629,9645,9646,9665,9764,9936,10028,10046,10160,10164,10168,10265,10268,10272,10273,10274,10279,10284,10389,10411,10416,10462,10476,10502,10508,10513,10520,10537,10543,10558,10561,10562,10563,10564,10571,10573,10615,10706,10710,10713,10714,10740,10835,10844,10863,10937,10942,10954,11048,11049,11051,11052,11053,11054,11055,11057,11058,11060,11066,11159,11163,11459,11568,11570,11722,11726,11727,11777,11814,12019,12803,12806,13250,13252,13257,14501
수학,1000,1001,1008,1016,1019,1024,1025,1027,1033,1036,1037,1041,1057,1059,1064,1067,1072,1073,1074,1075,1076,1078,1085,1087,1089,1094,1095,1105,1107,1110,1111,1112,1115,1117,1121,1122,1124,1125,1128,1131,1132,1138,1140,1142,1143,1145,1172,1183,1186,1188,1196,1206,1214,1229,1267,1280,1286,1289,1290,1297,1314,1322,1323,1331,1334,1339,1340,1341,1345,1350,1352,1353,1355,1356,1357,1359,1399,1404,1410,1415,1418,1419,1425,1428,1429,1435,1437,1441,1443,1448,1454,1456,1457,1459,1464,1468,1475,1476,1482,1483,1488,1490,1491,1492,1493,1494,1500,1503,1510,1518,1519,1521,1538,1540,1542,1545,1548,1549,1554,1555,1556,1557,1565,1566,1569,1570,1571,1611,1612,1614,1617,1619,1629,1630,1635,1642,1643,1652,1661,1669,1670,1709,1712,1722,1740,1742,1782,1788,1789,1792,1812,1816,1817,1834,1837,1843,1853,1904,1912,1919,1925,1940,1951,1954,1957,1959,1964,1971,1977,1978,1979,1990,2004,2005,2007,2010,2018,2038,2041,2045,2149,2153,2154,2155,2163,2168,2180,2226,2247,2338,2339,2355,2358,2373,2374,2378,2381,2405,2407,2765,2785,2790,2793,2806,2807,2808,2812,2813,2819,2827,2836,2839,2858,2862,2863,2864,2869,2896,2898,2901,2903,2913,2914,2916,2921,2925,2936,2951,2952,2965,2997,3008,3032,3041,3046,3049,3076,3130,3191,3203,3406,3441,3456,3474,3484,3486,3586,3674,3704,3707,3752,3827,3846,3857,3859,3868,3870,3903,3904,3910,3918,3923,3931,3955,3962,3964,3969,3981,3989,4079,4135,4150,4312,4332,4355,4379,4416,4504,4563,4572,4699,4820,4861,4972,5011,5035,5041,5389,5393,5402,5433,5623,5626,6165,6417,6420,6463,6479,8986,9206,9212,9246,9322,9371,9374,9411,9438,9506,9534,9546,9550,9556,9628,9630,9647,9651,9667,9668,9817,9998,10001,10041,10270,10275,10281,10327,10504,10519,10541,10543,10554,10557,10569,10644,10645,10646,10705,10742,11006,11099,11125,11135,11152,11166,11191,11456,11465,11814,12021,2907,9320,3847,3084,1359,2952,6537,11191,1604,3416,5804,2924,2981,3036,1476,5051,5627,2924,2981,3036,1476,5051,5627,11811,5402,3959,2824,2904,3807,9326,11653,3186,1847,3420,9649,1492,5373,3835,6517,5051,9544,10531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구현,1022,1159,1184,1188,1222,1262,1713,1722,1723,1732,1748,1756,1762,1764,1773,1788,1789,1790,1828,1924,1997,2002,2016,2033,2037,2038,2039,2136,2137,2138,2140,2142,2173,2175,2183,2187,2190,2194,2205,2232,2246,2290,2361,2382,2383,2388,2490,2563,2577,2783,2786,2790,2798,2804,2810,2818,2819,2822,2823,2834,2839,2851,2859,2872,2884,2901,2909,2915,2935,2955,2960,2968,2982,2986,3005,3007,3023,3034,3051,3053,3054,3101,3113,3129,3147,3182,3201,3435,3440,3462,3469,3486,3586,3643,3652,3699,3705,3806,3811,3856,3863,3885,3924,3956,3982,4060,4062,4153,4245,4254,4290,4322,4339,4584,4607,4652,4656,4669,4670,4679,4948,4968,4974,4975,4986,4987,4992,5007,5030,5032,5040,5043,5046,5063,5212,5215,5386,5396,5432,5532,5533,5534,5543,5549,5554,5556,5565,5567,5575,5576,5577,5579,5585,5596,5597,5612,5618,5624,5709,6119,6165,6268,6416,6418,6568,6581,6585,7421,7432,7825,8320,8979,9211,9245,9319,9324,9369,9439,9498,9519,9537,9560,9592,9628,9631,9635,9664,10001,10039,10040,10260,10286,10344,10409,10410,10524,10527,10539,10540,10551,10553,10612,10614,10643,10704,10707,10708,10709,10739,10797,10798,10871,10872,10886,10984,11151,11458,11464,11772,12790,12791,3478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그래프 이론,1033,1043,1045,1058,1068,1070,1073,1103,1109,1119,1127,1135,1143,1170,1172,1314,1348,1349,1412,1414,1420,1428,1429,1432,1444,1466,1468,1471,1486,1489,1506,1507,1523,1536,1567,1574,1575,1587,1616,1642,1651,1658,1671,1734,1741,1762,1763,1803,1867,1982,2162,2219,2379,2787,2837,2861,2889,2894,2924,2958,2976,3014,3044,3094,3136,3140,3170,3178,3201,3419,3468,3640,3646,3704,3712,3783,3810,3830,3836,3842,3850,3851,3860,3865,3869,3871,3894,3899,3900,3907,3909,3919,3920,3926,3929,4077,4175,4284,4324,4338,4352,4363,4567,4585,4609,4642,4650,4700,4778,4941,4947,4954,4956,4963,4965,4966,4971,4977,4979,4983,4989,4991,4993,4997,5017,5045,5214,5445,5542,5551,5558,5567,5578,5590,5719,5740,5748,6118,6310,6637,6672,7018,7021,7417,7895,7896,9178,9521,9534,9563,9591,9595,9666,9669,10048,10335,10360,10530,10532,10536,10542,10544,10552,10715,10741,10754,11102,11106,11122,11129,11148,11159,11160,11164,11167,11404,3677,10259,10412,10505,3954,9466,11810,5405,3478,3456,3200,1734,11400,1734,6672,11266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그리디 알고리즘,1041,1045,1047,1049,1060,1061,1078,1080,1082,1083,1084,1088,1092,1101,1104,1114,1115,1116,1119,1120,1125,1135,1138,1140,1186,1201,1202,1290,1294,1317,1343,1352,1398,1409,1414,1425,1437,1439,1449,1459,1461,1466,1467,1474,1493,1505,1506,1507,1508,1512,1540,1541,1543,1549,1570,1576,1589,1601,1624,1661,1700,1758,1781,1783,1802,1809,1817,1826,1911,1931,1946,1960,1969,2012,2024,2025,2036,2070,2134,2141,2147,2177,2198,2200,2209,2212,2215,2217,2220,2221,2223,2245,2258,2262,2345,2347,2352,2376,2413,2437,2529,2785,2812,2816,2828,2831,2865,2871,2873,2875,2878,2885,2886,2891,2905,2923,2956,3043,3109,3171,3195,3486,3487,3661,3663,3670,3672,3676,3681,3841,3844,3848,3859,4228,4313,4337,4588,4716,5050,5058,5059,5071,5381,5437,5545,5585,6381,6424,6524,6550,6640,7344,7348,7676,7901,8980,8987,9208,9530,9576,9869,10263,10269,10512,10525,10542,10547,10610,10644,10738,11047,11399,12018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFS,1012,1039,1194,1260,1325,1389,1600,1613,1697,1705,1707,1726,1765,1795,1828,1857,1938,1939,1953,1963,1967,1981,2021,2146,2151,2158,2178,2186,2206,2234,2241,2251,2468,2573,2583,2589,2644,2667,2842,2931,2933,2957,2974,2996,3055,3108,3125,3140,3184,3187,3197,3200,3439,3482,3494,3695,3805,3850,3853,3876,3973,4075,4163,4177,4179,4184,4191,4347,4401,4453,4585,4599,4609,4677,4713,4991,5011,5014,5022,5048,5062,5213,5214,5378,5382,5403,5427,5429,5439,5719,5737,5743,5772,6087,6334,6356,6357,6462,6501,6519,6534,6536,6544,6593,6601,6603,7308,7562,7569,7576,7682,7898,8059,8061,8068,8080,8112,9019,9177,9205,9328,9372,9376,9633,10026,10062,10320,10511,10533,11403,11460,11463,11559,11724,12761,13460,14502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
브루트 포스,1018,1019,1030,1035,1038,1044,1047,1051,1052,1061,1062,1065,1072,1079,1087,1093,1095,1096,1097,1107,1115,1117,1120,1122,1133,1134,1174,1182,1206,1213,1239,1251,1367,1398,1405,1417,1421,1424,1438,1450,1451,1452,1454,1458,1469,1483,1527,1537,1552,1553,1558,1589,1596,1601,1614,1729,1748,1762,1813,1827,1966,2034,2094,2137,2231,2309,2404,2503,2858,2915,2966,2981,3082,3085,3110,3179,3409,3651,3663,3671,3688,3690,3701,3704,3843,3957,3980,4077,4483,4486,4487,4491,4492,4591,4608,4641,4672,4785,5028,5044,5443,5589,5744,6124,6441,6603,6633,6638,6679,7453,7563,7568,7893,7899,7904,9176,9180,10448,10529,10572,10576,11152,11462,11563,12100,13460,14500,14501,14502,14888,14889,15683,15684,15686,1827,3963,11164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기하 알고리즘,1002,1046,1047,1061,1064,1069,1077,1087,1118,1130,1142,1147,1151,1186,1221,1280,1319,1346,1355,1358,1428,1430,1435,1478,1485,1540,1558,1583,1597,1606,1617,1619,1632,1711,1723,1798,1827,1853,1879,1945,1950,1995,2013,2017,2162,2244,2389,2403,2708,2734,2788,2802,2821,2868,3053,3094,3427,3479,3484,3700,3831,3837,3843,3854,3855,3861,3869,3873,3879,3881,3888,3889,3892,3894,3898,3899,3903,3905,3906,3911,3922,3929,3930,3934,3939,3990,4353,4484,4489,4603,4743,4894,4942,4967,4972,4976,4978,4985,4987,4990,4995,5536,5588,5620,5732,5746,5783,6384,6632,6639,7019,7320,7443,7869,7900,7902,7905,9153,9158,9532,9561,9564,9566,9598,9937,10278,10510,10535,10558,11166,11563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시뮬레이션,1018,1021,1022,1042,1043,1055,1057,1062,1063,1091,1094,1113,1120,1141,1173,1232,1290,1331,1333,1347,1360,1367,1404,1443,1461,1472,1526,1532,1547,1551,1571,1592,1614,1631,1917,1952,1966,1985,1986,2065,2160,2161,2164,2174,2238,2455,2733,2926,2943,2979,2980,3006,3021,3025,3048,3055,3098,3168,3190,3425,3668,3670,3678,3709,3877,3879,3884,3889,3895,3915,3953,3954,3960,3971,3985,3987,4063,4347,4360,4378,4488,4609,4669,4670,4938,4962,4971,4976,4978,4979,4983,4990,4996,5053,5371,5373,5385,5387,5395,5397,5399,5436,5532,5566,5587,5599,5600,6308,6634,6635,7017,7364,7614,9181,9436,9517,9543,10269,10528,10701,11559,14499,14503,14890,14891,15685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정렬,1015,1026,1036,1041,1050,1059,1071,1083,1092,1114,1118,1174,1181,1205,1213,1377,1409,1422,1427,1431,1433,1489,1517,1549,1572,1599,1615,1632,1645,1665,1706,1711,1723,1727,1728,1732,1818,1937,2012,2015,2036,2063,2141,2147,2179,2180,2230,2264,2340,2358,2371,2375,2385,2399,2402,2784,2817,2865,2866,2870,2878,2881,2959,2964,2983,2984,2989,3020,3039,3043,3045,3047,3141,3194,3196,3442,3649,3655,3661,3681,3783,3961,3988,4297,5000,5001,5010,5024,5044,5052,5059,5380,5431,5448,5544,7326,7469,8059,8989,9203,9937,10263,10267,10323,10329,10506,10814,10825,10989,11004,11650,11651,11652,4442,2947,9442,1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
