number	name	submit	submit_people	accept_people	average_attempt	accept	wrong	time_over	memory_over	output_over	output_type_error	runtime_error	compile_error	accept_proportion	accept_people_proportion	algorithm
1000	A+B	220210	75981	71093	2.213	96508	35764	401	609	288	600	28958	57431	45.182	93.567	수학
1001	A-B	95064	59532	58618	1.387	66603	8522	54	73	37	131	4971	14627	72.114	98.465	수학
1002	터렛	62835	10925	8323	5.288	10877	38313	411	44	739	68	3963	8427	18.912	76.183	기하 알고리즘
1003	피보나치 함수	71790	20052	12902	3.426	16208	12367	25300	597	979	168	4985	11207	29.192	64.343	다이나믹 프로그래밍
1004	어린 왕자	14756	4972	4625	2.47	5639	6012	110	22	235	31	1214	1493	40.488	93.021	
1005	ACM Craft	32612	4875	3175	5.392	5108	8791	8688	1999	330	11	5074	2614	18.547	65.128	위상 정렬
1006	습격자 초라기	6373	883	447	6.611	721	3363	1041	92	75	0	666	415	15.127	50.623	다이나믹 프로그래밍
1007	벡터 매칭	2544	717	579	2.731	806	793	422	10	4	0	107	402	36.622	80.753	
1008	A/B	123700	38306	32753	2.941	36764	67998	151	35	15	0	4052	14669	34	85.504	수학
1009	분산처리	27063	6476	5726	3.683	7230	13288	1920	262	381	16	2259	1705	27.149	88.419	
1010	다리 놓기	19769	7855	7284	2.092	9084	6071	1084	43	374	28	1557	1529	47.798	92.731	다이나믹 프로그래밍
1011	Fly me to the Alpha Centauri	26205	6420	5283	3.627	6740	7861	7802	471	281	16	1430	1604	27.575	82.29	
1012	유기농 배추	36947	9439	8842	2.96	12817	14772	684	866	473	39	4136	3169	33.783	93.675	BFS
1013	Contact	3204	898	796	3.044	1038	1610	65	0	39	3	253	195	32.852	88.641	
1014	컨닝	3301	992	548	2.635	837	1860	104	14	30	0	251	205	37.95	55.242	다이나믹 프로그래밍
1015	수열 정렬	4898	1981	1711	2.186	2002	2298	33	5	1	0	254	304	45.749	86.371	정렬
1016	제곱 ㄴㄴ 수	20398	3699	1951	5.289	2941	7607	4370	222	211	10	3340	1693	18.909	52.744	수학
1017	소수 쌍	4633	805	632	5.261	885	2569	551	73	34	3	270	248	19.008	78.509	네트워크 플로우
1018	체스판 다시 칠하기	10350	4026	3739	2.216	4468	4418	53	7	109	14	646	635	45.124	92.871	브루트 포스
1019	책 페이지	5278	1733	890	2.732	1168	1413	1434	367	54	19	371	451	36.61	51.356	수학
1020	디지털 카운터	1508	353	162	3.938	197	479	451	68	11	1	201	100	25.392	45.892	다이나믹 프로그래밍
1021	회전하는 큐	11725	4200	3871	2.405	4740	4260	959	90	122	5	910	639	41.588	92.167	시뮬레이션
1022	소용돌이 예쁘게 출력하기	4812	1322	993	3.243	1279	686	70	684	76	914	791	312	30.839	75.113	구현
1023	괄호 문자열	1119	283	199	3.241	256	485	123	39	10	0	151	55	30.853	70.318	다이나믹 프로그래밍
1024	수열의 합	8728	1979	1628	3.88	1998	5156	726	100	149	9	266	323	25.776	82.264	수학
1025	제곱수 찾기	636	179	137	3.496	166	412	9	0	1	0	16	32	28.601	76.536	수학
1026	보물	16906	8797	8372	1.621	9740	3970	314	51	43	65	1202	1553	61.686	95.169	정렬
1027	고층 건물	2130	605	478	3.186	580	1380	15	2	7	6	50	90	31.385	79.008	수학
1028	다이아몬드 광산	2306	499	371	3.69	556	1097	249	17	40	0	223	124	27.1	74.349	다이나믹 프로그래밍
1029	그림 교환	1538	341	271	4.092	365	718	227	59	10	0	107	52	24.436	79.472	다이나믹 프로그래밍
1030	프렉탈 평면	429	142	123	2.22	199	108	26	25	4	0	52	15	45.055	86.62	브루트 포스
1031	스타 대결	1314	191	117	6.479	151	737	205	15	119	1	50	36	15.435	61.257	네트워크 플로우
1032	명령 프롬프트	11801	4909	4664	2.064	5528	3659	55	4	473	16	1140	939	48.447	95.009	문자열 처리
1033	칵테일	733	169	117	4	130	455	46	7	0	0	80	15	25	69.231	수학
1034	램프	649	222	166	2.41	193	305	54	7	11	0	37	42	41.5	74.775	탐색
1035	조각 움직이기	403	142	104	2.029	145	206	7	7	0	0	5	33	49.289	73.239	브루트 포스
1036	36진수	1351	206	127	6.252	227	899	10	6	19	1	110	79	15.995	61.65	수학
1037	약수	12687	5499	5133	2.067	5975	5372	120	4	15	12	598	852	48.37	93.344	수학
